nm_distrito,cd_nivel_prioridade,count
AGUA RASA,1,58
AGUA RASA,2,1
AGUA RASA,3,2
AGUA RASA,5,15
AGUA RASA,6,61
AGUA RASA,,1591
ALTO DE PINHEIROS,1,10
ALTO DE PINHEIROS,5,2
ALTO DE PINHEIROS,6,23
ALTO DE PINHEIROS,,536
ANHANGUERA,1,214
ANHANGUERA,3,5
ANHANGUERA,5,54
ANHANGUERA,6,152
ANHANGUERA,,3185
ARICANDUVA,1,269
ARICANDUVA,5,56
ARICANDUVA,6,75
ARICANDUVA,,1981
ARTUR ALVIM,1,243
ARTUR ALVIM,2,13
ARTUR ALVIM,3,3
ARTUR ALVIM,5,44
ARTUR ALVIM,6,164
ARTUR ALVIM,,3854
BARRA FUNDA,1,16
BARRA FUNDA,3,1
BARRA FUNDA,5,1
BARRA FUNDA,6,8
BARRA FUNDA,,503
BELA VISTA,1,216
BELA VISTA,2,1
BELA VISTA,3,1
BELA VISTA,5,20
BELA VISTA,6,69
BELA VISTA,,2029
BELEM,1,40
BELEM,2,3
BELEM,5,20
BELEM,6,74
BELEM,,1997
BOM RETIRO,1,80
BOM RETIRO,2,4
BOM RETIRO,3,2
BOM RETIRO,5,33
BOM RETIRO,6,50
BOM RETIRO,,1914
BRAS,1,110
BRAS,2,1
BRAS,5,29
BRAS,6,35
BRAS,,1276
BRASILANDIA,1,599
BRASILANDIA,2,17
BRASILANDIA,3,14
BRASILANDIA,5,335
BRASILANDIA,6,844
BRASILANDIA,,14458
BUTANTA,1,39
BUTANTA,2,2
BUTANTA,3,4
BUTANTA,5,8
BUTANTA,6,23
BUTANTA,,1086
CACHOEIRINHA,1,541
CACHOEIRINHA,2,99
CACHOEIRINHA,3,3
CACHOEIRINHA,5,77
CACHOEIRINHA,6,286
CACHOEIRINHA,,6439
CAMBUCI,1,29
CAMBUCI,2,1
CAMBUCI,5,3
CAMBUCI,6,23
CAMBUCI,,750
CAMPO BELO,1,115
CAMPO BELO,3,2
CAMPO BELO,5,22
CAMPO BELO,6,80
CAMPO BELO,,1433
CAMPO GRANDE,1,268
CAMPO GRANDE,2,1
CAMPO GRANDE,3,2
CAMPO GRANDE,5,43
CAMPO GRANDE,6,100
CAMPO GRANDE,,1562
CAMPO LIMPO,1,1142
CAMPO LIMPO,2,11
CAMPO LIMPO,3,28
CAMPO LIMPO,5,264
CAMPO LIMPO,6,371
CAMPO LIMPO,,8750
CANGAIBA,1,336
CANGAIBA,2,2
CANGAIBA,3,1
CANGAIBA,5,75
CANGAIBA,6,279
CANGAIBA,,5553
CAPAO REDONDO,1,1674
CAPAO REDONDO,2,7
CAPAO REDONDO,3,20
CAPAO REDONDO,5,483
CAPAO REDONDO,6,310
CAPAO REDONDO,,9168
CARRAO,1,84
CARRAO,2,2
CARRAO,3,3
CARRAO,5,16
CARRAO,6,91
CARRAO,,2648
CASA VERDE,1,214
CASA VERDE,2,40
CASA VERDE,3,2
CASA VERDE,5,37
CASA VERDE,6,122
CASA VERDE,,2356
CIDADE ADEMAR,1,2771
CIDADE ADEMAR,2,9
CIDADE ADEMAR,3,7
CIDADE ADEMAR,5,516
CIDADE ADEMAR,6,254
CIDADE ADEMAR,,6547
CIDADE DUTRA,1,629
CIDADE DUTRA,2,7
CIDADE DUTRA,3,7
CIDADE DUTRA,5,232
CIDADE DUTRA,6,238
CIDADE DUTRA,,8103
CIDADE LIDER,1,368
CIDADE LIDER,3,9
CIDADE LIDER,5,64
CIDADE LIDER,6,198
CIDADE LIDER,,5238
CIDADE TIRADENTES,1,61
CIDADE TIRADENTES,2,16
CIDADE TIRADENTES,3,4
CIDADE TIRADENTES,5,58
CIDADE TIRADENTES,6,599
CIDADE TIRADENTES,,14732
CONSOLACAO,1,31
CONSOLACAO,2,1
CONSOLACAO,5,4
CONSOLACAO,6,10
CONSOLACAO,,358
CURSINO,1,311
CURSINO,2,1
CURSINO,3,7
CURSINO,5,39
CURSINO,6,86
CURSINO,,2144
ERMELINO MATARAZZO,1,294
ERMELINO MATARAZZO,2,10
ERMELINO MATARAZZO,3,1
ERMELINO MATARAZZO,5,60
ERMELINO MATARAZZO,6,211
ERMELINO MATARAZZO,,4905
FREGUESIA DO O,1,231
FREGUESIA DO O,2,12
FREGUESIA DO O,3,10
FREGUESIA DO O,5,58
FREGUESIA DO O,6,314
FREGUESIA DO O,,4367
GRAJAU,1,1623
GRAJAU,2,14
GRAJAU,3,22
GRAJAU,5,784
GRAJAU,6,584
GRAJAU,,14575
GUAIANASES,1,24
GUAIANASES,2,3
GUAIANASES,3,1
GUAIANASES,5,17
GUAIANASES,6,338
GUAIANASES,,7541
IGUATEMI,1,541
IGUATEMI,2,5
IGUATEMI,3,11
IGUATEMI,5,401
IGUATEMI,6,339
IGUATEMI,,6311
IPIRANGA,1,264
IPIRANGA,3,2
IPIRANGA,5,32
IPIRANGA,6,82
IPIRANGA,,3435
ITAIM BIBI,1,75
ITAIM BIBI,2,2
ITAIM BIBI,3,1
ITAIM BIBI,5,11
ITAIM BIBI,6,26
ITAIM BIBI,,547
ITAIM PAULISTA,1,314
ITAIM PAULISTA,2,17
ITAIM PAULISTA,3,7
ITAIM PAULISTA,5,154
ITAIM PAULISTA,6,621
ITAIM PAULISTA,,11714
ITAQUERA,1,398
ITAQUERA,2,3
ITAQUERA,3,9
ITAQUERA,5,121
ITAQUERA,6,445
ITAQUERA,,10681
JABAQUARA,1,1540
JABAQUARA,2,3
JABAQUARA,3,1
JABAQUARA,5,216
JABAQUARA,6,270
JABAQUARA,,4746
JACANA,1,577
JACANA,2,102
JACANA,3,7
JACANA,5,170
JACANA,6,164
JACANA,,3702
JAGUARA,1,39
JAGUARA,3,2
JAGUARA,5,10
JAGUARA,6,23
JAGUARA,,1550
JAGUARE,1,66
JAGUARE,2,2
JAGUARE,3,4
JAGUARE,5,35
JAGUARE,6,50
JAGUARE,,2116
JARAGUA,1,547
JARAGUA,2,3
JARAGUA,3,13
JARAGUA,5,307
JARAGUA,6,396
JARAGUA,,9377
JARDIM ANGELA,1,1963
JARDIM ANGELA,2,10
JARDIM ANGELA,3,20
JARDIM ANGELA,5,1065
JARDIM ANGELA,6,341
JARDIM ANGELA,,10340
JARDIM HELENA,1,260
JARDIM HELENA,2,20
JARDIM HELENA,3,11
JARDIM HELENA,5,150
JARDIM HELENA,6,335
JARDIM HELENA,,7150
JARDIM PAULISTA,,115
JARDIM SAO LUIS,1,1615
JARDIM SAO LUIS,2,16
JARDIM SAO LUIS,3,35
JARDIM SAO LUIS,5,659
JARDIM SAO LUIS,6,510
JARDIM SAO LUIS,,10330
JOSE BONIFACIO,1,161
JOSE BONIFACIO,2,3
JOSE BONIFACIO,3,6
JOSE BONIFACIO,5,31
JOSE BONIFACIO,6,190
JOSE BONIFACIO,,5036
LAJEADO,1,64
LAJEADO,2,3
LAJEADO,3,4
LAJEADO,5,66
LAJEADO,6,480
LAJEADO,,12267
LAPA,1,19
LAPA,3,2
LAPA,5,7
LAPA,6,33
LAPA,,1067
LIBERDADE,1,81
LIBERDADE,5,17
LIBERDADE,6,31
LIBERDADE,,1112
LIMAO,1,185
LIMAO,2,14
LIMAO,3,1
LIMAO,5,51
LIMAO,6,152
LIMAO,,2266
MANDAQUI,1,238
MANDAQUI,2,50
MANDAQUI,3,6
MANDAQUI,5,28
MANDAQUI,6,146
MANDAQUI,,2463
MARSILAC,1,11
MARSILAC,5,10
MARSILAC,6,12
MARSILAC,,469
MOEMA,1,43
MOEMA,2,1
MOEMA,5,3
MOEMA,6,22
MOEMA,,687
MOOCA,1,56
MOOCA,2,4
MOOCA,5,9
MOOCA,6,45
MOOCA,,1214
MORUMBI,1,250
MORUMBI,3,8
MORUMBI,5,73
MORUMBI,6,22
MORUMBI,,796
PARELHEIROS,1,264
PARELHEIROS,2,9
PARELHEIROS,3,6
PARELHEIROS,5,251
PARELHEIROS,6,206
PARELHEIROS,,6490
PARI,1,38
PARI,2,4
PARI,5,17
PARI,6,19
PARI,,855
PARQUE DO CARMO,1,195
PARQUE DO CARMO,2,2
PARQUE DO CARMO,3,3
PARQUE DO CARMO,5,59
PARQUE DO CARMO,6,137
PARQUE DO CARMO,,3292
PEDREIRA,1,1264
PEDREIRA,2,6
PEDREIRA,3,5
PEDREIRA,5,349
PEDREIRA,6,118
PEDREIRA,,3265
PENHA,1,238
PENHA,2,5
PENHA,3,1
PENHA,5,28
PENHA,6,208
PENHA,,4259
PERDIZES,1,31
PERDIZES,2,4
PERDIZES,3,2
PERDIZES,5,4
PERDIZES,6,24
PERDIZES,,941
PERUS,1,174
PERUS,2,1
PERUS,3,3
PERUS,5,80
PERUS,6,132
PERUS,,4407
PINHEIROS,1,29
PINHEIROS,2,2
PINHEIROS,3,4
PINHEIROS,5,2
PINHEIROS,6,27
PINHEIROS,,776
PIRITUBA,1,224
PIRITUBA,2,2
PIRITUBA,3,14
PIRITUBA,5,60
PIRITUBA,6,161
PIRITUBA,,4706
PONTE RASA,1,131
PONTE RASA,3,4
PONTE RASA,5,36
PONTE RASA,6,152
PONTE RASA,,3165
RAPOSO TAVARES,1,182
RAPOSO TAVARES,2,1
RAPOSO TAVARES,3,14
RAPOSO TAVARES,5,77
RAPOSO TAVARES,6,142
RAPOSO TAVARES,,4575
REPUBLICA,6,1
REPUBLICA,,24
RIO PEQUENO,1,204
RIO PEQUENO,2,3
RIO PEQUENO,3,14
RIO PEQUENO,5,94
RIO PEQUENO,6,139
RIO PEQUENO,,4031
SACOMA,1,1100
SACOMA,2,6
SACOMA,3,6
SACOMA,5,153
SACOMA,6,170
SACOMA,,8454
SANTA CECILIA,1,225
SANTA CECILIA,2,6
SANTA CECILIA,3,2
SANTA CECILIA,5,28
SANTA CECILIA,6,95
SANTA CECILIA,,2385
SANTANA,1,118
SANTANA,2,31
SANTANA,3,4
SANTANA,5,12
SANTANA,6,107
SANTANA,,1939
SANTO AMARO,1,79
SANTO AMARO,3,2
SANTO AMARO,5,9
SANTO AMARO,6,37
SANTO AMARO,,540
SAO DOMINGOS,1,107
SAO DOMINGOS,3,2
SAO DOMINGOS,5,30
SAO DOMINGOS,6,63
SAO DOMINGOS,,2256
SAO LUCAS,1,200
SAO LUCAS,2,1
SAO LUCAS,3,2
SAO LUCAS,5,50
SAO LUCAS,6,74
SAO LUCAS,,2133
SAO MATEUS,1,506
SAO MATEUS,2,4
SAO MATEUS,3,4
SAO MATEUS,5,132
SAO MATEUS,6,224
SAO MATEUS,,5470
SAO MIGUEL,1,66
SAO MIGUEL,2,15
SAO MIGUEL,3,1
SAO MIGUEL,5,42
SAO MIGUEL,6,244
SAO MIGUEL,,4010
SAO RAFAEL,1,937
SAO RAFAEL,2,7
SAO RAFAEL,3,9
SAO RAFAEL,5,315
SAO RAFAEL,6,181
SAO RAFAEL,,4726
SAPOPEMBA,1,1695
SAPOPEMBA,2,7
SAPOPEMBA,3,4
SAPOPEMBA,5,403
SAPOPEMBA,6,377
SAPOPEMBA,,8570
SAUDE,1,351
SAUDE,2,5
SAUDE,3,2
SAUDE,5,22
SAUDE,6,43
SAUDE,,1695
SE,1,113
SE,2,2
SE,5,16
SE,6,12
SE,,411
SOCORRO,1,43
SOCORRO,2,1
SOCORRO,5,13
SOCORRO,6,32
SOCORRO,,821
TATUAPE,1,49
TATUAPE,2,5
TATUAPE,3,1
TATUAPE,5,8
TATUAPE,6,77
TATUAPE,,1467
TREMEMBE,1,1070
TREMEMBE,2,271
TREMEMBE,3,8
TREMEMBE,5,193
TREMEMBE,6,218
TREMEMBE,,4531
TUCURUVI,1,118
TUCURUVI,2,43
TUCURUVI,3,3
TUCURUVI,5,12
TUCURUVI,6,112
TUCURUVI,,1473
VILA ANDRADE,1,546
VILA ANDRADE,2,2
VILA ANDRADE,3,10
VILA ANDRADE,5,271
VILA ANDRADE,6,60
VILA ANDRADE,,1869
VILA CURUCA,1,159
VILA CURUCA,2,26
VILA CURUCA,3,4
VILA CURUCA,5,60
VILA CURUCA,6,386
VILA CURUCA,,7404
VILA FORMOSA,1,216
VILA FORMOSA,3,1
VILA FORMOSA,5,33
VILA FORMOSA,6,72
VILA FORMOSA,,2256
VILA GUILHERME,1,63
VILA GUILHERME,2,10
VILA GUILHERME,3,3
VILA GUILHERME,5,21
VILA GUILHERME,6,85
VILA GUILHERME,,1609
VILA JACUI,1,204
VILA JACUI,2,13
VILA JACUI,3,3
VILA JACUI,5,98
VILA JACUI,6,321
VILA JACUI,,5690
VILA LEOPOLDINA,1,12
VILA LEOPOLDINA,3,2
VILA LEOPOLDINA,5,9
VILA LEOPOLDINA,6,20
VILA LEOPOLDINA,,1031
VILA MARIA,1,451
VILA MARIA,2,48
VILA MARIA,3,6
VILA MARIA,5,162
VILA MARIA,6,141
VILA MARIA,,4203
VILA MARIANA,1,107
VILA MARIANA,2,2
VILA MARIANA,3,1
VILA MARIANA,5,13
VILA MARIANA,6,46
VILA MARIANA,,1350
VILA MATILDE,1,158
VILA MATILDE,2,2
VILA MATILDE,3,2
VILA MATILDE,5,7
VILA MATILDE,6,155
VILA MATILDE,,2859
VILA MEDEIROS,1,374
VILA MEDEIROS,2,106
VILA MEDEIROS,3,6
VILA MEDEIROS,5,73
VILA MEDEIROS,6,232
VILA MEDEIROS,,4591
VILA PRUDENTE,1,136
VILA PRUDENTE,2,1
VILA PRUDENTE,3,6
VILA PRUDENTE,5,44
VILA PRUDENTE,6,62
VILA PRUDENTE,,2937
VILA SONIA,1,181
VILA SONIA,3,15
VILA SONIA,5,81
VILA SONIA,6,114
VILA SONIA,,4230
